original_userId,userId,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10
8,0,Die letzte Zauberin. Valorians Kinder.,The Best Short Stories of Fyodor Dostoevsky (Modern Library Paperback Classics),Access Sydney,A Book of One's Own: People and Their Diaries,"Smoke &amp; Spice: Cooking with Smoke, the Real Way to Barbecue, on Your Charcoal Grill, Water Smoker, or Wood-Burning Pit","The Beer Lover's Guide to the USA: Brewpubs, Taverns, and Good Beer Bars",Das neue Leben.,Big Ice,Insel der blauen Delfine ( Delphine). ( Ab 12 J.).,Siddhartha. Eine indische Dichtung
9,1,Jurassic Park,The Beach House,Timeline,A Prayer for Owen Meany,Digital Fortress : A Thriller,Animal Farm,Chicken Soup for the Soul (Chicken Soup for the Soul),Little Altars Everywhere: A Novel,The Five People You Meet in Heaven,Anne Frank: The Diary of a Young Girl
10,2,A Prayer for Owen Meany,SHIPPING NEWS,Midnight in the Garden of Good and Evil: A Savannah Story,Dragonfly in Amber,Where the Heart Is (Oprah's Book Club (Paperback)),To Kill a Mockingbird,Timeline,Tis : A Memoir,Wicked: The Life and Times of the Wicked Witch of the West,The Giver (21st Century Reference)
12,3,Kiss the Girls,Timeline,While I Was Gone,Girl with a Pearl Earring,The Poisonwood Bible: A Novel,The Thorn Birds,Good Omens,SHIPPING NEWS,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Chicken Soup for the Soul (Chicken Soup for the Soul)
14,4,Eyewitness Travel Guide to Japan,"Girl Pages : Handbook of Best Resources for Growing Strong, Confident, Creative Girls (Girl Pages)",Reengineering the Corporation: A Manifesto for Business Revolution,Les Diaboliques (French Language Edition),Plus Essential Sociology,Push Not The River,The Lives of John Lennon,Winding Paths,The Adventures of Augie March (Penguin Modern Classics),Cadillac desert: The American West and its disappearing water
16,5,The Da Vinci Code,Dragonfly in Amber,Digital Fortress : A Thriller,The Testament,Shopgirl,Congo,Good Omens,Where the Heart Is (Oprah's Book Club (Paperback)),Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),The God of Small Things
17,6,Arco Teach Yourself the Gmat Cat in 24 Hours (Arcos Teach Yourself in 24 Hours Series),"FÃÂ¼rstin, Dame, armes Weib","Yoga fÃ?ÃÂ¼r RÃ?ÃÂ¼cken, Schulter und Nacken.",Sternstunden Der Menschheit: 12 Historische Miniaturen,Das Faxenbuch (Neue Frau),Quer durch die Galaxie und dann links,A Book of One's Own: People and Their Diaries,Hooked but Not Helpless: Ending Your Love Hate Relationship With Nicotine,First Book of Sushi (World Snacks),I Know a Rhino
19,7,Tis : A Memoir,Shopgirl,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),The Five People You Meet in Heaven,Midnight in the Garden of Good and Evil: A Savannah Story,"The Vampire Lestat (Vampire Chronicles, Book II)",The Pillars of the Earth,The Red Tent (Bestselling Backlist),The Bean Trees,Kiss the Girls
22,8,Vinegar Hill (Oprah's Book Club (Paperback)),Seabiscuit: An American Legend,Jewel,Skipping Christmas,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,Angels &amp; Demons,"The Vampire Lestat (Vampire Chronicles, Book II)",The Catcher in the Rye,Fall On Your Knees (Oprah #45),Hannibal
26,9,Access Sydney,The Best Short Stories of Fyodor Dostoevsky (Modern Library Paperback Classics),"The Best 351 Colleges, 2004 Edition",Loretta Lynn: Coal Miner's Daughter,The T-Factor Fat Gram Counter,Everything Cat: What Kids Really Want to Know About Cats (Kids' FAQs),Wayside School Gets a Little Stranger,Big Ice,Trouble Man the Life and Deat Gaye,"In My Father's House (Shiloh Legacy, Book 1)"
32,10,Red Dragon,Jack &amp; Jill (Alex Cross Novels),The Nanny Diaries: A Novel,Divine Secrets of the Ya-Ya Sisterhood: A Novel,The Rescue,Message in a Bottle,The Street Lawyer,Seabiscuit: An American Legend,Memoirs of a Geisha Uk,Wicked: The Life and Times of the Wicked Witch of the West
39,11,Access Sydney,Las Olas (Fabula),Big Ice,The Best Short Stories of Fyodor Dostoevsky (Modern Library Paperback Classics),Motin del Bounty,Latitude: How American Astronomers Solved the Mystery of Variation,William Wegman Puppies,Trouble Man the Life and Deat Gaye,Truth &amp; Beauty : A Friendship,Mercy (G K Hall Large Print Book Series (Cloth))
42,12,A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),Hannibal,The Catcher in the Rye,Wicked: The Life and Times of the Wicked Witch of the West,The Pillars of the Earth,"The Vampire Lestat (Vampire Chronicles, Book II)",Digital Fortress : A Thriller,Skipping Christmas,Jurassic Park,The Nanny Diaries: A Novel
44,13,Congo,A Thousand Acres (Ballantine Reader's Circle),The Red Tent (Bestselling Backlist),Deception Point,The Color of Water: A Black Man's Tribute to His White Mother,The Secret Life of Bees,Good Omens,Shopaholic Takes Manhattan (Summer Display Opportunity),Neverwhere,The Tao of Pooh
51,14,Kiss the Girls,Jurassic Park,The King of Torts,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,Jewel,Animal Farm,Congo,"The Two Towers (The Lord of the Rings, Part 2)","The Vampire Lestat (Vampire Chronicles, Book II)",The Secret Life of Bees
53,15,Die letzte Zauberin. Valorians Kinder.,A Soldier of the Great War,American Dreams: Lost &amp; Found,Kybalion: A Study of the Hermetic Philosophy of Ancient Egypt and Greece,Beatriz Y Los Cuerpos Celestes: Una Novela Rosa,Spiegelzeit. Eine phantastische Geschichte.,Devine qui fait quoi : Une promenade invisible,Michelangelo: Pieta,We're Going on a Bear Hunt (Classic Board Books),A Walk in Hell - The Other Side of War
56,16,Silver Scream: A Bed-and-Breakfast Mystery,"The Case of the Buried Treasure (Jigsaw Jones Super Special, 1)",Play the Ball Where the Monkey Drops It: Why We Suffer and How We Can Hope,A Book of One's Own: People and Their Diaries,What's So Great About America,"The Best 351 Colleges, 2004 Edition",Kid Calhoun,Harvest Poems: 1910-1960,"A Perfect Pair (Silhouette Special Edition, 1590)","Gallant Waif (Harlequin Historical Series, No 557)"
64,17,Jurassic Park,Confessions of a Shopaholic (Summer Display Opportunity),While I Was Gone,Chicken Soup for the Soul (Chicken Soup for the Soul),Shopaholic Takes Manhattan (Summer Display Opportunity),She's Come Undone (Oprah's Book Club),A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),The Kitchen God's Wife,Isle of Dogs,Wicked: The Life and Times of the Wicked Witch of the West
67,18,To Kill a Mockingbird,Black and Blue,One for the Money (Stephanie Plum Novels (Paperback)),The Secret Life of Bees,The Street Lawyer,Tis : A Memoir,Interpreter of Maladies,The Poisonwood Bible: A Novel,The Thorn Birds,The Hitchhiker's Guide to the Galaxy
69,19,First Book of Sushi (World Snacks),I Know a Rhino,Motin del Bounty,The VALUE IN THE VALLEY : A BLACK WOMAN'S GUIDE THROUGH LIFE'S DILEMMAS,"In My Father's House (Shiloh Legacy, Book 1)",Wuthering Heights (Modern Library Paperback Classics),The Best Short Stories of Fyodor Dostoevsky (Modern Library Paperback Classics),Arco Teach Yourself the Gmat Cat in 24 Hours (Arcos Teach Yourself in 24 Hours Series),Lonely Planet New York City Condensed (Condensed Guides),Good King Harry (Ballantine Reader's Circle)
